Drug,Short_Drug,Normal dose,Dose in renal impairment GFR (mL/min)
lurasidone hydrochloride,Lurasidone,37–148 mg once daily,"30–50	18.5–74 mg once daily.
15–30	18.5–74 mg once daily.
<15	18.5–74 mg once daily. Use with caution."
lymecycline,Lymecycline,"408 mg (1 capsule) twice daily, increasing to 3–4 capsules daily in severe infections
Acne: 408 mg daily for at least 8 weeks","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Avoid. See ‘Other information’."
macitentan,Macitentan,10 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
maraviroc,Maraviroc,150–600 mg twice daily depending on other antiretroviral agents,"20–80	If administered without potent CYP3A4 inhibitors dose as in normal renal function. If administered with potent CYP3A4 inhibitors: 150 mg daily.
10–20    If administered without potent CYP3A4 inhibitors dose as in normal renal function.If administered with potent CYP3A4 inhibitors: 150 mg daily.
<10	If administered without potent CYP3A4 inhibitors dose as in normal renal function.If administered with potent CYP3A4 inhibitors: 150 mg daily."
mebendazole,Mebendazole,"Threadworm: 100 mg as a single dose; if re-infection occurs repeat after 2 weeks
Whipworm, roundworm, hookworm: 100 mg twice daily for 3 days
Echinococcosis: 40–50 mg/kg daily for at least 3–6 months","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
medroxyprogesterone acetate,Medroxyprogesterone,"Cachexia (unlicensed): 500 mg twice daily
Contraception: 150 mg (deep IM) or 104 mg (SC) within first 5 days of cycle or within first 5 days after parturition
Breast cancer: Oral: 400–1500 mg daily
Other hormone sensitive malignancies: Oral: 100–600 mg daily
Endometrial and renal cell cancer: 200–600 mg daily
Dysfunctional uterine bleeding: 2.5–10 mg daily for 5–10 days beginning on day 16–21 of cycle, repeated for 2–3 cycles
Endometriosis: 10 mg 3 times a day for 90 consecutive days, beginning on day 1 of cycle
Progestogenic opposition of oestrogen HRT: 10 mg daily for the last 14 days of each 28 day oestrogen HRT cycle
See product literature for more specific information","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
mefenamic acid,Mefenamic,500 mg 3 times a day,"20–50	Dose as in normal renal function, but avoid if possible.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only use if on dialysis."
mefloquine,Mefloquine,"Prophylaxis: 250 mg weekly, if < 45Kg see SPC
Treatment: 20–25 mg/kg in 2–3 divided doses; maximum 1.5 g","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Use with caution. Prophylaxis: Dose as in normal renal function."
megestrol acetate,Megestrol,160 mg daily,"
20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Monitor carefully."
melatonin,Melatonin,"5 mg daily for 4 months, then weekly according to response","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
meloxicam,Meloxicam,7. 5–15 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but avoid if possible.
Only use if on dialysis."
melphalan,Melphalan,"Orally: 150–200 micrograms/kg daily
Polycythaemia vera: 6–10 mg daily, reduced after 5–7 days to 2–4 mg daily, then further reduced to 2–6 mg per week
IV administration: 16–240 mg/m2 according to indication and local protocol","20–50	75% of dose. See ‘Other information’.
10–20	75% of dose. See ‘Other information’.
<10	50% of dose. See ‘Other information’."
memantine,Memantine,5–10 mg once daily,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with care.
<10	Dose as in normal renal function. Use with care."
mepacrine hydrochloride (unlicensed product),Mepacrine,100 mg every 8 hours for 5–7 days,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
mepolizumab,Mepolizumab,100 mg every 4 weeks,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
meptazinol,Meptazinol,"Oral: 200 mg every 3–6 hours
IM: 75–100 mg every 2–4 hours; obstetric analgesia: 100–150 mg depending on patient’s weight (2 mg/ kg)
Slow IV: 50–100 mg every 2–4 hours","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Start with low doses."
mercaptopurine,Mercaptopurine,20–80 mg once daily,"20–50	Dose as in normal renal function.
10–20	75–100%
<10	50–100%"
meropenem,Meropenem,"500 mg – 1 g every 8 hours
Higher doses used in cystic fibrosis and meningitis (up to 2 g every 8 hours)","26–50	500 mg – 2 g every 12 hours.
10–25	500 mg – 1 g every 12 hours or 500 mg
every 8 hours.
<10	500 mg – 1 g every 24 hours."
mesalazine,Mesalazine,2–4 mg once daily,"30–60	2 mg once daily.
<30	Avoid."
mesna,Mesna,Initially 250 mg every 12 hours for 2 weeks; then increased according to blood concentration and response to maximum 500 mg every 12 hours,"20–50	250–500 mg every 24 hours. Monitor blood levels weekly.
10–20	250–500 mg every 24 hours. Monitor blood levels weekly.
<10	250–500 mg every 36-48 hours.
Monitor blood levels weekly."
metaraminol,Metaraminol,"15–100 mg, adjusted according to response
Emergency treatment: 0.5–5 mg then 15–100 mg by IV infusion","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
metformin hydrochloride,Metformin,"500 mg 3 times a day; maximum 3 g daily in divided doses
Polycystic ovary syndrome: 1.5–1.7 g daily in 2–3 divided doses
MR: 500 mg – 2 g daily in 1–2 divided doses","45–59	25–50% of dose. Maximum: 2000 mg in 2–3 divided doses.
10–45	25% of dose. See ‘Other information’.
<10	Avoid. See ‘Other information’."
methadone hydrochloride,Methadone,"Opioid addiction: 10–60 mg per day, increasing by 10 mg per day until there are no signs of withdrawal or intoxication; reduce gradually
Analgesia: 5–10 mg every 6–8 hours","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	50–75% of normal dose, and titrate according to response."
methenamine hippurate,Methenamine,1 g every 8–12 hours,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Avoid. See ‘Other information’."
methotrexate,Methotrexate,"150–800 mg daily in divided doses after meals (expressed as levodopa)
MR: Initially 1–2 capsules 3 times daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
methyldopa,Methyldopa,10–20 mcg once daily,"30–50	Dose as in normal renal function. Use with caution.
10–30	Use lower dose with caution.
<10	Use lower dose with caution."
methylprednisolone,Methylprednisolone,"Oral: 2–360 mg daily
IM/IV: 10–500 mg
Graft rejection: up to 1 g daily for up to 3 days. See ‘Other information’
IM depot: 40–120 mg into gluteal muscle, repeated after 2–3 weeks if required","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
metoclopramide hydrochloride,Metoclopramide,"10 mg 3 times a day
Use in patients under 20 years should be restricted","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
metolazone (unlicensed),Metolazone,"Oedema: 5–10 mg, increased to 20 mg daily; maximum 80 mg daily
Hypertension: 5 mg initially; maintenance: 5 mg on alternate days","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
metoprolol tartrate,Metoprolol,"Oral:
Hypertension: 100–400 mg daily in divided doses
MR: 200 mg once daily
Angina: 50–100 mg 2–3 times daily
MR: 200–400 mg daily
Arrhythmias: 100–300 mg in 2–3 divided doses
Migraine: 100–200 mg daily in divided doses
MR: 200 mg daily
Hyperthyroidism: 50 mg 4 times daily
IV: 5 mg repeated after 5 minutes to a total dose of 10–15 mg
In surgery: 2–4 mg by slow IV injection then 2 mg as required to a maximum of 10 mg","20–50	Dose as in normal renal function.
10–20	Start with small doses and titrate in accordance with response.
<10	Start with small doses and titrate in accordance with response."
metronidazole,Metronidazole,20–60 mg daily depending on indication,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Use low dose, or on alternate days and increase according to response."
mexiletine hydrochloride (unlicensed),Mexiletine,"Oral: 400 mg loading dose, followed by 200–300 mg 3 times daily commencing 2 hours after the loading dose. Maximum 1.2g daily
IV injection: 100–250 mg at a rate of 25 mg/minute with ECG monitoring, followed by an infusion of 250 mg as a 0.1% solution over 1 hour, 125 mg/hour for 2 hours then 500 micrograms/minute thereafter","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	50–100% of normal dose and titrate according to response."
mianserin hydrochloride,Mianserin,30–90 mg daily either at bedtime or in divided doses,"20–50	Start with a low dose and gradually increase.
10–20   Start with a low dose and gradually increase.
<10       Start wit  a low dose and gradually increase."
micafungin,Micafungin,"Dose in normal renal function		
Weight >40 kg: 50–200 mg once daily
Weight <40 kg: 1–4 mg/kg
(Dose depends on indication)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
miconazole,Miconazole,"Oral gel: 2.5–10 mL in mouth, after food, 4 times daily
Buccal: 50 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
midazolam,Midazolam,"See SPC for dosing guidelines.
Status epilepticus: Buccal: 10 mg repeated once after 10 minutes if required","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Use sparingly and titrate according to response. Only bolus doses, not continuous infusion."
midodrine hydrochloride,Midodrine,2.5 mg twice daily up to 10 mg 3 times a day,"  
20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Start with a lower dose and titrate according to response.
<10	Dose as in normal renal function. Start with a lower dose and titrate according to response."
mifamurtide,Mifamurtide,"2 mg/m2 initially twice weekly, reduced to once weekly after 12 weeks","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
minocycline,Minocycline,"100 mg twice daily
Acne: 100 mg daily in 1 or 2 divided doses","
20–50	Dose as in normal renal function.
10–20    Dose as in normal renal function.
<10        Dose as in normal renal function."
minoxidil,Minoxidil,"Initially 5 mg (elderly 2.5 mg) daily in 1–2 doses increased by 5–10 mg every 3 or more days; maximum 100 mg daily
Male pattern baldness: 1 mL twice daily","20–50	Start with small doses and titrate according to response. See ‘Other information’.
10–20	Start with small doses and titrate according to response. See ‘Other information’.
<10	Start with small doses and titrate according to response. See ‘Other information’."
mirabegron,Mirabegron,50 mg daily,"30–60	Dose as in normal renal function. 25 mg with CYP 3A inhibitors.
15–29	25 mg daily. Avoid with CYP 3A inhibitors.
<15	25 mg daily. Avoid with CYP 3A inhibitors. See 'Other information'."
mircera,Mircera,"ESA-naive patients: 0.6 mcg/kg every 2 weeks or 1.2 mcg/kg every 4 weeks, changing by 25% according to response; once stable change to monthly dosing
Target haemoglobin usually 10–12 g/dL
If previously on an ESA: 120–360 mcg monthly depending on previous ESA dose, and adjust according to response","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
mirtazapine,Mirtazapine,15–45 mg daily in 1 or 2 divided doses,"20–40	Dose as in normal renal function.
10–20	Start at low dose and monitor closely.
<10	Start at low dose and monitor closely."
misoprostol,Misoprostol,"Treatment: 800 mcg daily in 2 or 4 divided doses
Prophylaxis: 200 mcg 2–4 times daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
mitomycin,Mitomycin,"IV: Some regimens use an initial dose of 10–20 mg/ m2 others use 4–10 mg or 0.06–0.15 mg/kg given every 1–6 weeks, depending on concurrent therapy and bone marrow recovery
For instillation into bladder: 20–40 mg","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	75% of normal dose."
