virkestoff,atckode,varenavn
diklofenak,M01AB05,dicuno
diklofenak,M01AB05,modifenac
diklofenak,M01AB05,voltaren
diklofenak,M01AB05,diclofenac bluefish
diklofenak,M01AB05,cataflam
diklofenak,M01AB05,voltarol
ketorolak,M01AB15,toradol
ketorolak,M01AB15,ketorolac trometamol s.a.l.f.
aceklofenak,M01AB16,beofenac
"diklofenak, kombinasjoner",M01AB55,arthrotec
piroksikam,M01AC01,brexidol
piroksikam,M01AC01,piroxicam mylan
meloksikam,M01AC06,meloxicam bluefish
meloksikam,M01AC06,meloxicam
ibuprofen,M01AE01,ibux
ibuprofen,M01AE01,nurofen junior
ibuprofen,M01AE01,brufen retard
ibuprofen,M01AE01,ibuprofen b. braun
ibuprofen,M01AE01,nurofen forte
ibuprofen,M01AE01,nurofen
ibuprofen,M01AE01,ibuprofen zentiva
ibuprofen,M01AE01,nureflex
ibuprofen,M01AE01,nurofen junior fiebersaft orange
ibuprofen,M01AE01,nurofen junior nordic prime
ibuprofen,M01AE01,ibugard mikst 100mg/5ml
ibuprofen,M01AE01,ibumetin
naproksen,M01AE02,naproxen evolan
naproksen,M01AE02,naproxen-e mylan
naproksen,M01AE02,napren-e
naproksen,M01AE02,naproxen orion
naproksen,M01AE02,naproxen norfri
naproksen,M01AE02,bonyl
naproksen,M01AE02,naproxen mylan
naproksen,M01AE02,naproxen accord
naproksen,M01AE02,naproxen al
naproksen,M01AE02,proxan
ketoprofen,M01AE03,orudis
deksibuprofen,M01AE14,seractiv
naproksen og esomeprazol,M01AE52,vimovo
tolfenamsyre,M01AG02,clotam
tolfenamsyre,M01AG02,migea
celekoksib,M01AH01,celecoxib medical valley
celekoksib,M01AH01,celebrex
celekoksib,M01AH01,celebra
parekoksib,M01AH04,dynastat
etorikoksib,M01AH05,etoricoxib sandoz
etorikoksib,M01AH05,etoricoxib krka
etorikoksib,M01AH05,etoricoxib orion
etorikoksib,M01AH05,arcoxia
"andre antiinflammatoriske og antireumatiske midler, ikke-steroider",M01AX,glucosamine chondroitin msm mrm
"andre antiinflammatoriske og antireumatiske midler, ikke-steroider",M01AX,glucosamine plus extra strength douglas
"andre antiinflammatoriske og antireumatiske midler, ikke-steroider",M01AX,glucosamine plus douglas
nabumeton,M01AX01,relifex
glukosamin,M01AX05,glucosamin pharma nord
glukosamin,M01AX05,glucosamin orifarm
glukosamin,M01AX05,samin
glukosamin,M01AX05,donacom
natriumaurotiomalat,M01CB01,myocrisin
auranofin,M01CB03,ridaura
penicillamin,M01CC01,metalcaptase
topikale midler ved muskel- og leddsmerter,M02,arnikatinktur naf
ketoprofen,M02AA10,orudis
ibuprofen,M02AA13,ibumetin
ibuprofen,M02AA13,ibux
diklofenak,M02AA15,diklofenakdietylamin norfri
diklofenak,M02AA15,voltarol forte
diklofenak,M02AA15,diclofenac diethylamine teva
diklofenak,M02AA15,voltarol
diklofenak,M02AA15,voltaren
capsaicin,M02AB01,thermogene
andre topikale midler ved muskel- og leddsmerter,M02AX,dolobene ratiopharm
andre topikale midler ved muskel- og leddsmerter,M02AX,rowiren
diverse,M02AX10,hvit kamferolje naf
suksametonium,M03AB01,suxamethonium chloride aguettant
suksametonium,M03AB01,suxamethonium chloride martindale
suksametonium,M03AB01,lysthenon
suksametonium,M03AB01,suxamethonium chloride dihydrate ethypharm
pankuronium,M03AC01,pancuronium
pankuronium,M03AC01,pancuronium inresa
vekuronium,M03AC03,vecuronium inresa nordic prime
atrakurium,M03AC04,atracurium-hameln
atrakurium,M03AC04,tracrium
rokuroniumbromid,M03AC09,esmeron
mivakuriumklorid,M03AC10,mivacron
cisatrakurium,M03AC11,nimbex
cisatrakurium,M03AC11,cisatracurio accord
botulinumtoksin,M03AX01,xeomin
botulinumtoksin,M03AX01,botox
botulinumtoksin,M03AX01,azzalure
botulinumtoksin,M03AX01,dysport
botulinumtoksin,M03AX01,alluzience
botulinumtoksin,M03AX01,bocouture
botulinumtoksin,M03AX01,vistabel
karisoprodol,M03BA02,carisoprodol oxford
karisoprodol,M03BA02,carisoprodol vensun
karisoprodol,M03BA02,carisoprodol sciegen
karisoprodol,M03BA02,carisoprodol qualitest
metokarbamol,M03BA03,ortoton
klorzoksason,M03BB03,paraflex
baklofen,M03BX01,lioresal
baklofen,M03BX01,lionova
baklofen,M03BX01,baclofen sintetica
baklofen,M03BX01,baklofen mylan
tizanidin,M03BX02,sirdalud
tizanidin,M03BX02,sirdalud retard
tizanidin,M03BX02,tizanidin-teva
dantrolen,M03CA01,dantrolen
dantrolen,M03CA01,dantrium norgine
dantrolen,M03CA01,dantrolen campus
allopurinol,M04AA01,allopur
allopurinol,M04AA01,allopurinol aristo
allopurinol,M04AA01,allopurinol orion
allopurinol,M04AA01,allopurinol sandoz
allopurinol,M04AA01,zyloric
febuksostat,M04AA03,febuxostat accord
febuksostat,M04AA03,uloric
febuksostat,M04AA03,adenuric
febuksostat,M04AA03,febuxostat sun
febuksostat,M04AA03,febuxostat novadoz
probenecid,M04AB01,probecid
benzbromaron,M04AB03,narcaricin mite
kolkisin,M04AC01,colrefuz
kolkisin,M04AC01,colchicine rph
kolkisin,M04AC01,colchicine
kolkisin,M04AC01,colchicine ria
kolkisin,M04AC01,kolkisin tiofarma
pamidronsyre,M05BA03,pamifos
alendronsyre,M05BA04,binosto
alendronsyre,M05BA04,alendronat mylan
alendronsyre,M05BA04,fosamax
alendronsyre,M05BA04,alendronat sandoz
alendronsyre,M05BA04,alendronat bluefish
alendronsyre,M05BA04,alendronic acid accord
ibandronsyre,M05BA06,bonviva
ibandronsyre,M05BA06,ibandronsyre medical valley
ibandronsyre,M05BA06,ibandronsäure aliud
risedronsyre,M05BA07,actonel
risedronsyre,M05BA07,optinate septimum
zoledronsyre,M05BA08,zoledronsyre fresenius kabi
zoledronsyre,M05BA08,aclasta
zoledronsyre,M05BA08,zoledo
zoledronsyre,M05BA08,zometa
zoledronsyre,M05BA08,zoledronic acid oresund pharma
zoledronsyre,M05BA08,zoledronsyre sun
dibotermin alfa,M05BC01,inductos
denosumab,M05BX04,xgeva
denosumab,M05BX04,prolia
burosumab,M05BX05,crysvita
romosozumab,M05BX06,evenity
kollagenase klostridum histolyticum,M09AB02,xiaflex
ataluren,M09AX03,translarna
nusinersen,M09AX07,spinraza
onasemnogenabeparvovek,M09AX09,zolgensma
risdiplam,M09AX10,evrysdi
nervesystemet,N,calmedoron weleda
nervesystemet,N,bryophyllum argento cultum d3 weleda
nervesystemet,N,hypericum auro cultum herba d3 weleda
isofluran,N01AB06,aerrane
isofluran,N01AB06,isofluran baxter
isofluran,N01AB06,sedaconda
desfluran,N01AB07,suprane
sevofluran,N01AB08,sevorane
sevofluran,N01AB08,sevofluran baxter
metoheksital,N01AF01,brevital
tiopental,N01AF03,pentocur
tiopental,N01AF03,tiopental life medical
fentanyl,N01AH01,fentanyl hameln
fentanyl,N01AH01,fentanyl sa
fentanyl,N01AH01,leptanal
alfentanil,N01AH02,rapifen
alfentanil,N01AH02,alfentanil hameln
sufentanil,N01AH03,sufentanil hameln
sufentanil,N01AH03,sufenta
sufentanil,N01AH03,dzuveo
remifentanil,N01AH06,ultiva
remifentanil,N01AH06,remifentanil
"fentanyl, kombinasjoner",N01AH51,fødeepidural sa
"fentanyl, kombinasjoner",N01AH51,standard eda blanding sa
ketamin,N01AX03,ketamin abcur
ketamin,N01AX03,ketamin abcur
ketamin,N01AX03,ketalar
etomidat,N01AX07,hypnomidate
propofol,N01AX10,propofol-lipuro
propofol,N01AX10,diprivan
propofol,N01AX10,propolipid
dinitrogenoksid,N01AX13,medisinsk lystgass air liquide
dinitrogenoksid,N01AX13,medisinsk lystgass nippon gases scandinavia
dinitrogenoksid,N01AX13,niontix
esketamin,N01AX14,ketanest
"dinitrogenoksid, kombinasjoner",N01AX63,livopan
aminobenzosyreestre,N01BA,oksybuprokain sa
prokain,N01BA02,procain
tetrakain,N01BA03,tetrakain sa
klorprokain,N01BA04,nesacaine-mpf
klorprokain,N01BA04,ampres
benzokain,N01BA05,topicale raspberry
benzokain,N01BA05,topicale assorted flavour
"tetrakain, kombinasjoner",N01BA53,tetrakain-adrenalin sa
bupivakain,N01BB01,marcain spinal tung
bupivakain,N01BB01,bupivacaine baxter
bupivakain,N01BB01,marcain spinal
bupivakain,N01BB01,bupivacaine accord
bupivakain,N01BB01,marcain
lidokain,N01BB02,xylocain
lidokain,N01BB02,xyloneural forte
lidokain,N01BB02,lidokain apl
lidokain,N01BB02,lidokain sa
lidokain,N01BB02,lidocaine hcl viscous west-ward
lidokain,N01BB02,lidokain mylan
lidokain,N01BB02,lidocaine hcl lannett
lidokain,N01BB02,lidocaine accord
lidokain,N01BB02,lidokain aguettant
lidokain,N01BB02,lidoderm
lidokain,N01BB02,lidocaine hcl wockhardt
lidokain,N01BB02,lidokain glostrup
lidokain,N01BB02,lidodan viscous
lidokain,N01BB02,xylocain aspen
lidokain,N01BB02,lidocaine hydrochloride west-ward
lidokain,N01BB02,versatis
lidokain,N01BB02,lidbree
lidokain,N01BB02,lidocaine hcl teligent
lidokain,N01BB02,lidocaine hcl viscous hi-tech
mepivakain,N01BB03,carbocain aspen
mepivakain,N01BB03,carbocain dental
mepivakain,N01BB03,carbocain
mepivakain,N01BB03,scandonest plain
prilokain,N01BB04,takipril
ropivakain,N01BB09,ropivacain fresenius kabi
ropivakain,N01BB09,ropivacaine bioq
kombinasjoner,N01BB20,emla
kombinasjoner,N01BB20,tapin
kombinasjoner,N01BB20,oraqix
"bupivakain, kombinasjoner",N01BB51,marcain-adrenalin
"bupivakain, kombinasjoner",N01BB51,bupivacaina/adrenalina physan
"bupivakain, kombinasjoner",N01BB51,bupivacain mit epinephrin jenapharm
"bupivakain, kombinasjoner",N01BB51,marcain adrenalin
"bupivakain, kombinasjoner",N01BB51,bupisen con adrenalina
"lidokain, kombinasjoner",N01BB52,xylocaine with adrenaline aspen
"lidokain, kombinasjoner",N01BB52,xylocaine-adrenaline
"lidokain, kombinasjoner",N01BB52,xylocain-adrenalin
"lidokain, kombinasjoner",N01BB52,xylocain adrenalin
"lidokain, kombinasjoner",N01BB52,xylanaest mit epinephrin
"lidokain, kombinasjoner",N01BB52,xylocain dental adrenalin
"lidokain, kombinasjoner",N01BB52,xylocaine with epinephrine
"lidokain, kombinasjoner",N01BB52,rapydan
"lidokain, kombinasjoner",N01BB52,xylocain-adrenalin euromedica
"mepivakain, kombinasjoner",N01BB53,carbosen con adrenalina
"mepivakain, kombinasjoner",N01BB53,carbocain adrenalin
"prilokain, kombinasjoner",N01BB54,citanest dental octapressin
"artikain, kombinasjoner",N01BB58,septocaine forte
"artikain, kombinasjoner",N01BB58,septocaine
kokain,N01BC01,kokain sa
fenol,N01BX03,fenol sa
capsaicin,N01BX04,capsina
capsaicin,N01BX04,qutenza
capsaicin,N01BX04,capsaicin sa
morfin,N02AA01,morfin sa
morfin,N02AA01,sevre-long
morfin,N02AA01,morfin i intrasite sa
morfin,N02AA01,malfin
morfin,N02AA01,oramorph
morfin,N02AA01,dolcontin
morfin,N02AA01,morfin
morfin,N02AA01,morfine hci centrafarm u/kons
morfin,N02AA01,morfin epidural meda
morfin,N02AA01,morfin naf
morfin,N02AA01,mst continus
morfin,N02AA01,morfin orifarm
morfin,N02AA01,morfin epidural
morfin,N02AA01,morfin abcur
morfin,N02AA01,morphine orion
hydromorfon,N02AA03,palladon
hydromorfon,N02AA03,palladone sr
hydromorfon,N02AA03,hydromorfonhydroklorid kalceks
hydromorfon,N02AA03,hydofon
oksykodon,N02AA05,oxycontin
oksykodon,N02AA05,oksykodon sa
oksykodon,N02AA05,reltebon depot
oksykodon,N02AA05,oxycodone hameln
oksykodon,N02AA05,oxycodone actavis
oksykodon,N02AA05,oxynorm
oksykodon,N02AA05,oxycodone orifarm
dihydrokodein,N02AA08,dhc continus
dihydrokodein,N02AA08,dhc mundipharma
dihydrokodein,N02AA08,dihydrocodeine actavis
oksykodon og nalokson,N02AA55,targiniq
oksykodon og nalokson,N02AA55,tanonalla
oksykodon og nalokson,N02AA55,targin
ketobemidon,N02AB01,ketorax
petidin,N02AB02,petidin
petidin,N02AB02,dolcontral
petidin,N02AB02,pethidin hcl sintetica
fentanyl,N02AB03,abstral
fentanyl,N02AB03,fentanyl ratiopharm
fentanyl,N02AB03,durogesic
fentanyl,N02AB03,fentanyl sandoz
fentanyl,N02AB03,instanyl
fentanyl,N02AB03,actiq sugetab m/appl
pentazocin,N02AD01,pentazocine accord
buprenorfin,N02AE01,norspan
buprenorfin,N02AE01,bugnanto
buprenorfin,N02AE01,temgesic
buprenorfin,N02AE01,buprefarm
buprenorfin,N02AE01,transtec
ketobemidon og spasmolytika,N02AG02,ketogan
kodein og paracetamol,N02AJ06,kodein/paracetamol sa
kodein og paracetamol,N02AJ06,pinex forte
kodein og paracetamol,N02AJ06,paralgin major
kodein og paracetamol,N02AJ06,altermol
kodein og paracetamol,N02AJ06,paralgin forte
kodein og acetylsalisylsyre,N02AJ07,treo comp
kodein og acetylsalisylsyre,N02AJ07,kodimagnyl ikke-stoppende
kodein og acetylsalisylsyre,N02AJ07,dolviran
tramadol og paracetamol,N02AJ13,tramadol/paracetamol orion
tramadol,N02AX02,tramal
tramadol,N02AX02,tramagetic od
tramadol,N02AX02,tramagetic retard
tramadol,N02AX02,tramadol hexal
tramadol,N02AX02,nobligan retard
tramadol,N02AX02,nobligan
tramadol,N02AX02,zytram bid
tramadol,N02AX02,tramadol stada
tramadol,N02AX02,zytram xl
tramadol,N02AX02,tramadol actavis
tramadol,N02AX02,tramadol aliud
tramadol,N02AX02,tramadol panpharma
tramadol,N02AX02,tramadol ratiopharm
tramadol,N02AX02,tramadol-ratiopharm
tapentadol,N02AX06,palexia
tapentadol,N02AX06,palexia depot
acetylsalisylsyre,N02BA01,aspirin nordic prime
acetylsalisylsyre,N02BA01,acetylsalisylsyre norfri
acetylsalisylsyre,N02BA01,acetylsalisylsyre sa
acetylsalisylsyre,N02BA01,aspirin aspar
acetylsalisylsyre,N02BA01,aspirin bayer
acetylsalisylsyre,N02BA01,disprin direct
acetylsalisylsyre,N02BA01,aspirin
acetylsalisylsyre,N02BA01,disprin
diflunisal,N02BA11,diflunisal
diflunisal,N02BA11,diflunisal avet
metamizolnatrium,N02BB02,novalgin
metamizolnatrium,N02BB02,novalgine
metamizolnatrium,N02BB02,metamizol aristo
"fenazon, kombinasjoner ekskl. psykoleptika",N02BB51,fenazon-koffein sterke
"fenazon, kombinasjoner ekskl. psykoleptika",N02BB51,fenazon-koffein
paracetamol,N02BE01,paracet
paracetamol,N02BE01,calpol six plus
paracetamol,N02BE01,paracetamol baxter
paracetamol,N02BE01,panodil
paracetamol,N02BE01,paracetamol caplets
paracetamol,N02BE01,paracetamol sa
paracetamol,N02BE01,pinemol
paracetamol,N02BE01,panodil zapp
paracetamol,N02BE01,pinex
paracetamol,N02BE01,paracetamol norfri
paracetamol,N02BE01,paracetamol orifarm
paracetamol,N02BE01,mexalen
paracetamol,N02BE01,paracetamol b. braun
paracetamol,N02BE01,paracetamol rosemont
paracetamol,N02BE01,paracetamol fresenius kabi
"paracetamol, kombinasjoner ekskl. psykoleptika",N02BE51,paracetduo
"paracetamol, kombinasjoner ekskl. psykoleptika",N02BE51,dolerin
"paracetamol, kombinasjoner ekskl. psykoleptika",N02BE51,lemsip cold & flu lemon
"paracetamol, kombinasjoner ekskl. psykoleptika",N02BE51,comboval
"paracetamol, kombinasjoner ekskl. psykoleptika",N02BE51,paralen
gabapentin,N02BF01,neurontin
gabapentin,N02BF01,gabapentin accord
gabapentin,N02BF01,gabapentin rosemont
gabapentin,N02BF01,gabaliquid gerisan specific
gabapentin,N02BF01,gabapentin stada
gabapentin,N02BF01,gabaliquid geriasan
pregabalin,N02BF02,lyrica
pregabalin,N02BF02,pregabalin-neuraxpharm
mirogabalin,N02BF03,tarlige
flupirtin,N02BG07,katadolon
zikonotid,N02BG08,prialt
metoksyfluran,N02BG09,penthrox
cannabinoider,N02BG10,bedrocan
cannabinoider,N02BG10,thc drops stenocare
cannabinoider,N02BG10,adven thc 10/20 cbd
cannabinoider,N02BG10,sativex
cannabinoider,N02BG10,adven thc 0/50 cbd
cannabinoider,N02BG10,bediol
cannabinoider,N02BG10,adven thc 10/10 cbd
cannabinoider,N02BG10,bedrobinol
cannabinoider,N02BG10,cbd drops stenocare
cannabinoider,N02BG10,adven thc 10/0 cbd
cannabinoider,N02BG10,balanced drops stenocare
cannabinoider,N02BG10,bedrolite
cannabinoider,N02BG10,adven thc 20/0 cbd
cannabinoider,N02BG10,bedica
dihydroergotamin,N02CA01,dihydroergotamine sterimax
"ergotamin, kombinasjoner ekskl. psykoleptika",N02CA52,cafergot
sumatriptan,N02CC01,imigran
sumatriptan,N02CC01,imigran radis
sumatriptan,N02CC01,sumatriptan teva
sumatriptan,N02CC01,sumatriptan bluefish
sumatriptan,N02CC01,sumatriptan aristo
sumatriptan,N02CC01,sumatriptan bluefish
sumatriptan,N02CC01,imigran juvenil
sumatriptan,N02CC01,sumatriptan sun
naratriptan,N02CC02,naramig
naratriptan,N02CC02,naratriptan orifarm
zolmitriptan,N02CC03,zolmitriptan sandoz
zolmitriptan,N02CC03,zomig nasal
zolmitriptan,N02CC03,zomig rapimelt
zolmitriptan,N02CC03,zomig
rizatriptan,N02CC04,rizatriptan aurobindo
rizatriptan,N02CC04,maxalt
rizatriptan,N02CC04,maxalt rapitab
rizatriptan,N02CC04,rizatriptan al
rizatriptan,N02CC04,maxalt lingua
almotriptan,N02CC05,almotriptan orifarm
almotriptan,N02CC05,almogran
eletriptan,N02CC06,eletriptan mylan
eletriptan,N02CC06,relpax
eletriptan,N02CC06,eletriptan pensa
frovatriptan,N02CC07,migard
frovatriptan,N02CC07,frovatriptan mylan
frovatriptan,N02CC07,frovatriptan teva
erenumab,N02CD01,aimovig
galkanezumab,N02CD02,emgality
fremanezumab,N02CD03,ajovy
eptinezumab,N02CD05,vyepti
rimegepant,N02CD06,vydura
pizotifen,N02CX01,sandomigrin
klonidin,N02CX02,klonidin sa
klonidin,N02CX02,clonidine teva
klonidin,N02CX02,mar-clonidine
klonidin,N02CX02,teva-clonidine
klonidin,N02CX02,clonidine hcl aurobindo
klonidin,N02CX02,klonidin sa i ora-blend
fenobarbital,N03AA02,fenemal
fenobarbital,N03AA02,fenobarbitalnatrium naf
fenobarbital,N03AA02,fenemal naf
fenobarbital,N03AA02,fenobarbital sa
fenobarbital,N03AA02,aphenylbarbit
primidon,N03AA03,liskantin
primidon,N03AA03,primidone amneal
primidon,N03AA03,mysoline
primidon,N03AA03,primidon orifarm
fenytoin,N03AB02,fenytoin naf
fenytoin,N03AB02,epanutin
fenytoin,N03AB02,phenhydan
fenytoin,N03AB02,phenytoin awd
fosfenytoin,N03AB05,pro-epanutin
fosfenytoin,N03AB05,cerebyx
etosuksimid,N03AD01,suxinutin
etosuksimid,N03AD01,petnidan
etosuksimid,N03AD01,ethosuximide orifarm
klonazepam,N03AE01,rivotril
klonazepam,N03AE01,rivotril unimedic
karbamazepin,N03AF01,carbamazepine essential
karbamazepin,N03AF01,trimonil retard
karbamazepin,N03AF01,carbamazepine essential pharma
karbamazepin,N03AF01,tegretol
karbamazepin,N03AF01,tegretol retard
okskarbazepin,N03AF02,trileptal
okskarbazepin,N03AF02,timox
okskarbazepin,N03AF02,apydan
okskarbazepin,N03AF02,apydan extent
rufinamid,N03AF03,inovelon
eslikarbazepin,N03AF04,zebinix
valproinsyre,N03AG01,apo-divalproex
valproinsyre,N03AG01,orfiril long
valproinsyre,N03AG01,orfiril retard
valproinsyre,N03AG01,depakote sprinkle
valproinsyre,N03AG01,orfiril
valproinsyre,N03AG01,ergenyl chrono
valproinsyre,N03AG01,orfiril saft
valproinsyre,N03AG01,valproat life medical
valproinsyre,N03AG01,depakote
valproinsyre,N03AG01,deprakine retard
valproinsyre,N03AG01,natriumvalproat sa
aminobutyrsyre,N03AG03,gaba douglas
vigabatrin,N03AG04,sabrilex
tiagabin,N03AG06,gabitril
sultiam,N03AX03,ospolot
lamotrigin,N03AX09,lamotrigin 1a pharma
lamotrigin,N03AX09,lamictal
felbamat,N03AX10,taloxa
topiramat,N03AX11,topimax
topiramat,N03AX11,topamax
topiramat,N03AX11,topiramat sa
levetiracetam,N03AX14,keppra
levetiracetam,N03AX14,levetiracetam accord
levetiracetam,N03AX14,kevesy
zonisamid,N03AX15,zonegran
stiripentol,N03AX17,diacomit
lakosamid,N03AX18,vimpat
lakosamid,N03AX18,lacosamide accord
lakosamid,N03AX18,lacosamide medical valley
perampanel,N03AX22,fycompa
brivaracetam,N03AX23,briviact
cannabidiol,N03AX24,cannabidiol glostrup
cannabidiol,N03AX24,epidyolex
senobamat,N03AX25,ontozry
fenfluramin,N03AX26,fintepla
triheksylfenidyl,N04AA01,artane
biperiden,N04AA02,akineton
procyklidin,N04AA04,kemadrin
orfenadrin (klorid),N04AB02,lysantin
benztropin,N04AC01,benztropine mesylate hikma
levodopa og dekarboksylasehemmer,N04BA02,levodop-neuraxpharm
levodopa og dekarboksylasehemmer,N04BA02,sinemet plus
levodopa og dekarboksylasehemmer,N04BA02,sinemet
levodopa og dekarboksylasehemmer,N04BA02,sinemet 25/100
levodopa og dekarboksylasehemmer,N04BA02,flexilev
levodopa og dekarboksylasehemmer,N04BA02,madopar depot 25/100
levodopa og dekarboksylasehemmer,N04BA02,carbidopa/levodopa orion
levodopa og dekarboksylasehemmer,N04BA02,duodopa
levodopa og dekarboksylasehemmer,N04BA02,"sinemet 12,5/50"
levodopa og dekarboksylasehemmer,N04BA02,"madopar 12,5/50"
levodopa og dekarboksylasehemmer,N04BA02,carbidopa/levodopa fair-med
levodopa og dekarboksylasehemmer,N04BA02,madopar 25/100
levodopa og dekarboksylasehemmer,N04BA02,sinemet depot mite
levodopa og dekarboksylasehemmer,N04BA02,"madopar solubile 12,5/50"
levodopa og dekarboksylasehemmer,N04BA02,sinemet 25/250
levodopa og dekarboksylasehemmer,N04BA02,madopar
"levodopa, dekarboksylasehemmer og comt-hemmer",N04BA03,stalevo
"levodopa, dekarboksylasehemmer og comt-hemmer",N04BA03,lecigon
amantadin,N04BB01,dinetrel
amantadin,N04BB01,amantadin aliud
amantadin,N04BB01,amantadine pai
amantadin,N04BB01,symmetrel
bromokriptin,N04BC01,parlodel
ropinirol,N04BC04,ropinirol mylan
ropinirol,N04BC04,requip depot
ropinirol,N04BC04,adartrel
ropinirol,N04BC04,ropinirol krka
pramipeksol,N04BC05,oprymea
pramipeksol,N04BC05,sifrol
pramipeksol,N04BC05,pramipexole orion
apomorfin,N04BC07,apomorfin pharmswed
apomorfin,N04BC07,britaject
apomorfin,N04BC07,dacepton
rotigotin,N04BC09,neupro
selegilin,N04BD01,eldepryl
selegilin,N04BD01,selegilin-neuraxpharm
selegilin,N04BD01,jumex
selegilin,N04BD01,selegilin stada
selegilin,N04BD01,selegilin al
rasagilin,N04BD02,azilect
rasagilin,N04BD02,rasagiline mylan
rasagilin,N04BD02,rasagilin accord
safinamid,N04BD03,xadago
tolkapon,N04BX01,tasmar
entakapon,N04BX02,comtess
opikapon,N04BX04,ongentys
klorpromazin,N05AA01,chlorpromazine
klorpromazin,N05AA01,chlorpromazine hcl amneal
klorpromazin,N05AA01,largactil
klorpromazin,N05AA01,largactil farma mondo
levomepromazin,N05AA02,nozinan specific
levomepromazin,N05AA02,levomepromazin-neuraxpharm unimedic
levomepromazin,N05AA02,methoprazine
levomepromazin,N05AA02,tisercin specific
levomepromazin,N05AA02,levomepromazin neuraxpharm
levomepromazin,N05AA02,levomepromazine orion
levomepromazin,N05AA02,nozinan
levomepromazin,N05AA02,levomepromazin-neuraxpharm
flufenazin,N05AB02,modecate
flufenazin,N05AB02,fluphenazine hcl lannett
flufenazin,N05AB02,moditen
perfenazin,N05AB03,trilafon
perfenazin,N05AB03,trilafon unimedic
perfenazin,N05AB03,perphenazin neuraxpharm
perfenazin,N05AB03,trilafon dekanoat
perfenazin,N05AB03,peratsin
proklorperazin,N05AB04,stemetil
proklorperazin,N05AB04,prochlorperazine
proklorperazin,N05AB04,compro
